id,category,question,expected_services,actual_services,correct,error
general_01,general,Is Queenstown in the South Island?,general,general,True,
general_02,general,Which part of Auckland is Botany in?,general,general,True,
general_03,general,What is Auckland known for?,general,general,True,
weather_01,weather,What will the weather be tomorrow in Auckland?,weather,weather,True,
weather_02,weather,Will it rain tomorrow in Queenstown?,weather,weather,True,
weather_03,weather,What is the temperature in Auckland today?,weather,weather,True,
places_01,places,Recommend some restaurants in Auckland.,places,places,True,
places_02,places,Find some attractions in Queenstown.,places,places,True,
places_03,places,Where can I eat Chinese food in Auckland?,places,places,True,
rag_01,rag,"According to the travel knowledge base, what is the difference between Waiheke Island and Rangitoto Island?",rag,rag,True,
rag_02,rag,"According to the travel knowledge base, what is the difference between Queenstown and Wanaka?",rag,rag,True,
rag_03,rag,What should a family with young children do in Auckland on a rainy day?,rag,rag,True,
analytics_01,analytics,How much did international visitors spend in Auckland in July 2026?,analytics,analytics,True,
analytics_02,analytics,Compare tourism spending between Auckland and Otago in July 2026.,analytics,analytics,True,
analytics_03,analytics,Show the tourism spending trend for Auckland in 2026.,analytics,analytics,True,
multi_01,multi_tool,Check the weather tomorrow in Auckland and tell me whether Waiheke Island would be suitable.,"weather, rag","weather, general",False,
multi_02,multi_tool,"If it rains tomorrow in Auckland, what should a family with young children do?","weather, rag","weather, rag",True,
multi_03,multi_tool,What is the weather in Queenstown tomorrow and recommend some restaurants there?,"weather, places","weather, places",True,
memory_01,follow_up,What about the day after?,weather,weather,True,
memory_02,follow_up,Can you recommend some restaurants there?,places,places,True,
